date,item,sku,quantity,unit_cost,value,reason,category,outlet
2024-12-06,Butter,RAW017,0.8,450,360,Rancid,Dairy,Outlet 1
2024-12-06,Cauliflower,RAW018,2.5,60,150,Damaged,Vegetables,Outlet 1
2024-12-06,Butter Chicken,SKU002,2,85,170,Unsold,Main Course,Outlet 1
2024-12-06,Masala Chai,SKU010,10,15,150,Unsold,Beverages,Outlet 1
2024-12-07,Lamb (Raw),RAW019,1.0,650,650,Expired,Meat,Outlet 1
2024-12-07,Paneer,RAW002,0.8,320,256,Spoiled,Dairy,Outlet 1
2024-12-07,Spinach,RAW020,1.5,80,120,Wilted,Vegetables,Outlet 1
2024-12-07,Chicken Biryani,SKU001,3,95,285,Unsold,Main Course,Outlet 1
2024-12-07,Kheer,SKU015,8,25,200,Unsold,Desserts,Outlet 1
2024-12-08,Chicken (Raw),RAW001,2.0,180,360,Expired,Meat,Outlet 2
2024-12-08,Cheese,RAW021,0.6,480,288,Moldy,Dairy,Outlet 2
2024-12-08,Mushrooms,RAW022,1.0,280,280,Spoiled,Vegetables,Outlet 2
2024-12-08,Fish Curry,SKU011,2,95,190,Unsold,Main Course,Outlet 2
2024-12-08,Kulcha,SKU014,12,15,180,Unsold,Breads,Outlet 2
2024-12-09,Prawns (Raw),RAW012,0.5,680,340,Expired,Seafood,Outlet 2
2024-12-09,Cream,RAW010,0.8,280,224,Spoiled,Dairy,Outlet 2
2024-12-09,Beans,RAW023,1.2,90,108,Damaged,Vegetables,Outlet 2
2024-12-09,Prawn Masala,SKU012,2,115,230,Unsold,Main Course,Outlet 2
2024-12-09,Mango Lassi,SKU016,10,35,350,Unsold,Beverages,Outlet 2
2024-12-10,Mutton (Raw),RAW009,1.2,550,660,Expired,Meat,Outlet 1
2024-12-10,Yogurt,RAW006,1.5,80,120,Expired,Dairy,Outlet 1
2024-12-10,Carrots,RAW024,2.0,45,90,Damaged,Vegetables,Outlet 1
2024-12-10,Dal Makhani,SKU004,3,55,165,Unsold,Main Course,Outlet 1
2024-12-10,Tandoori Roti,SKU007,15,8,120,Unsold,Breads,Outlet 1
2024-12-11,Chicken (Raw),RAW001,1.5,180,270,Expired,Meat,Outlet 1
2024-12-11,Milk,RAW015,2.5,55,137.5,Soured,Dairy,Outlet 1
2024-12-11,Garlic,RAW025,0.6,200,120,Sprouted,Vegetables,Outlet 1
2024-12-11,Paneer Tikka,SKU003,4,65,260,Unsold,Starters,Outlet 1
2024-12-11,Gulab Jamun,SKU008,10,18,180,Unsold,Desserts,Outlet 1
2024-12-12,Fish (Raw),RAW005,1.0,420,420,Spoiled,Seafood,Outlet 1
2024-12-12,Paneer,RAW002,1.0,320,320,Expired,Dairy,Outlet 1
2024-12-12,Peas,RAW026,1.5,120,180,Damaged,Vegetables,Outlet 1
2024-12-12,Butter Chicken,SKU002,2,85,170,Unsold,Main Course,Outlet 1
2024-12-12,Naan,SKU006,12,12,144,Unsold,Breads,Outlet 1
2024-12-13,Chicken (Raw),RAW001,1.8,180,324,Expired,Meat,Outlet 1
2024-12-13,Cream,RAW010,0.6,280,168,Spoiled,Dairy,Outlet 1
2024-12-13,Tomatoes,RAW003,2.5,40,100,Overripe,Vegetables,Outlet 1
2024-12-13,Chicken Biryani,SKU001,2,95,190,Unsold,Main Course,Outlet 1
2024-12-13,Lassi,SKU009,6,28,168,Unsold,Beverages,Outlet 1
